"TEMPERATURE1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,0
0.94681,1,0.6,0,0,0.6
0.89384,1,1.2,0,0,1.2
0.84131,1,1.8,0,0,1.8
0.78964,1,2.4,0,0,2.4
0.7384,1,3,0,0,3
0.68904,1,3.6,0,0,3.6
0.64048,1,4.2,0,0,4.2
0.59351,1,4.8,0,0,4.8
0.54844,1,5.4,0,0,5.4
0.50431,1,6,0,0,6
0.46335,1,6.6,0,0,6.6
0.42353,1,7.2,0,0,7.2
0.38599,1,7.8,0,0,7.8
0.35081,1,8.4,0,0,8.4
0.31682,1,9,0,0,9
0.28642,1,9.6,0,0,9.6
0.2572,1,10.2,0,0,10.2
0.23034,1,10.8,0,0,10.8
0.20577,1,11.4,0,0,11.4
0.18233,1,12,0,0,12
0.16212,1,12.6,0,0,12.6
0.14292,1,13.2,0,0,13.2
0.12571,1,13.8,0,0,13.8
0.11032,1,14.4,0,0,14.4
0.095847,1,15,0,0,15
0.083811,1,15.6,0,0,15.6
0.072493,1,16.2,0,0,16.2
0.062608,1,16.8,0,0,16.8
0.053964,1,17.4,0,0,17.4
0.045941,1,18,0,0,18
0.039506,1,18.6,0,0,18.6
0.033517,1,19.2,0,0,19.2
0.028417,1,19.8,0,0,19.8
0.024054,1,20.4,0,0,20.4
0.020059,1,21,0,0,21
0.016967,1,21.6,0,0,21.6
0.014116,1,22.2,0,0,22.2
0.011749,1,22.8,0,0,22.8
0.0097671,1,23.4,0,0,23.4
0.0079769,1,24,0,0,24
0.0066382,1,24.6,0,0,24.6
0.0054158,1,25.2,0,0,25.2
0.004426,1,25.8,0,0,25.8
0.0036137,1,26.4,0,0,26.4
0.0028901,1,27,0,0,27
0.0023671,1,27.6,0,0,27.6
0.0018938,1,28.2,0,0,28.2
0.00152,1,28.8,0,0,28.8
0.0012191,1,29.4,0,0,29.4
0.00095485,1,30,0,0,30
0.00077004,1,30.6,0,0,30.6
0.00060422,1,31.2,0,0,31.2
0.0004764,1,31.8,0,0,31.8
0.00037548,1,32.4,0,0,32.4
0.00028802,1,33,0,0,33
0.00022881,1,33.6,0,0,33.6
0.00017612,1,34.2,0,0,34.2
0.00013646,1,34.8,0,0,34.8
0.00010572,1,35.4,0,0,35.4
7.9441e-05,1,36,0,0,36
6.2202e-05,1,36.6,0,0,36.6
4.6978e-05,1,37.2,0,0,37.2
3.5787e-05,1,37.8,0,0,37.8
2.7263e-05,1,38.4,0,0,38.4
2.0072e-05,1,39,0,0,39
1.5498e-05,1,39.6,0,0,39.6
1.1489e-05,1,40.2,0,0,40.2
8.6082e-06,1,40.8,0,0,40.8
6.4508e-06,1,41.4,0,0,41.4
4.655e-06,1,42,0,0,42
3.5462e-06,1,42.6,0,0,42.6
2.5811e-06,1,43.2,0,0,43.2
1.9031e-06,1,43.8,0,0,43.8
1.4035e-06,1,44.4,0,0,44.4
9.93e-07,1,45,0,0,45
7.4678e-07,1,45.6,0,0,45.6
5.3387e-07,1,46.2,0,0,46.2
3.8757e-07,1,46.8,0,0,46.8
2.814e-07,1,47.4,0,0,47.4
1.9528e-07,1,48,0,0,48
1.4506e-07,1,48.6,0,0,48.6
1.019e-07,1,49.2,0,0,49.2
7.287e-08,1,49.8,0,0,49.8
5.2111e-08,1,50.4,0,0,50.4
3.5486e-08,1,51,0,0,51
2.605e-08,1,51.6,0,0,51.6
1.7989e-08,1,52.2,0,0,52.2
1.2679e-08,1,52.8,0,0,52.8
8.9356e-09,1,53.4,0,0,53.4
5.9748e-09,1,54,0,0,54
4.3386e-09,1,54.6,0,0,54.6
2.9495e-09,1,55.2,0,0,55.2
2.0544e-09,1,55.8,0,0,55.8
1.4343e-09,1,56.4,0,0,56.4
9.5165e-10,1,57,0,0,57
6.991e-10,1,57.6,0,0,57.6
4.9066e-10,1,58.2,0,0,58.2
3.7044e-10,1,58.8,0,0,58.8
3.0678e-10,1,59.4,0,0,59.4
2.7142e-10,1,60,0,0,60
