"TEMPERATURE1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,0
0.97336,1,0.6,0,0,0.6
0.94675,1,1.2,0,0,1.2
0.9202,1,1.8,0,0,1.8
0.89375,1,2.4,0,0,2.4
0.86736,1,3,0,0,3
0.84122,1,3.6,0,0,3.6
0.81518,1,4.2,0,0,4.2
0.78936,1,4.8,0,0,4.8
0.7638,1,5.4,0,0,5.4
0.73837,1,6,0,0,6
0.71341,1,6.6,0,0,6.6
0.68864,1,7.2,0,0,7.2
0.66422,1,7.8,0,0,7.8
0.64019,1,8.4,0,0,8.4
0.61637,1,9,0,0,9
0.59321,1,9.6,0,0,9.6
0.57028,1,10.2,0,0,10.2
0.54782,1,10.8,0,0,10.8
0.52586,1,11.4,0,0,11.4
0.50416,1,12,0,0,12
0.48324,1,12.6,0,0,12.6
0.46261,1,13.2,0,0,13.2
0.44252,1,13.8,0,0,13.8
0.42301,1,14.4,0,0,14.4
0.40377,1,15,0,0,15
0.38541,1,15.6,0,0,15.6
0.36735,1,16.2,0,0,16.2
0.34988,1,16.8,0,0,16.8
0.33301,1,17.4,0,0,17.4
0.31644,1,18,0,0,18
0.30077,1,18.6,0,0,18.6
0.28539,1,19.2,0,0,19.2
0.27061,1,19.8,0,0,19.8
0.25643,1,20.4,0,0,20.4
0.24254,1,21,0,0,21
0.22953,1,21.6,0,0,21.6
0.2168,1,22.2,0,0,22.2
0.20464,1,22.8,0,0,22.8
0.19304,1,23.4,0,0,23.4
0.18172,1,24,0,0,24
0.17121,1,24.6,0,0,24.6
0.16097,1,25.2,0,0,25.2
0.15124,1,25.8,0,0,25.8
0.14201,1,26.4,0,0,26.4
0.13304,1,27,0,0,27
0.12479,1,27.6,0,0,27.6
0.11676,1,28.2,0,0,28.2
0.10919,1,28.8,0,0,28.8
0.10206,1,29.4,0,0,29.4
0.095137,1,30,0,0,30
0.088831,1,30.6,0,0,30.6
0.082717,1,31.2,0,0,31.2
0.076988,1,31.8,0,0,31.8
0.071619,1,32.4,0,0,32.4
0.06643,1,33,0,0,33
0.061744,1,33.6,0,0,33.6
0.057215,1,34.2,0,0,34.2
0.052997,1,34.8,0,0,34.8
0.049067,1,35.4,0,0,35.4
0.045282,1,36,0,0,36
0.041895,1,36.6,0,0,36.6
0.038631,1,37.2,0,0,37.2
0.03561,1,37.8,0,0,37.8
0.032813,1,38.4,0,0,38.4
0.030127,1,39,0,0,39
0.027747,1,39.6,0,0,39.6
0.025459,1,40.2,0,0,40.2
0.023355,1,40.8,0,0,40.8
0.021419,1,41.4,0,0,41.4
0.019566,1,42,0,0,42
0.017939,1,42.6,0,0,42.6
0.01638,1,43.2,0,0,43.2
0.014956,1,43.8,0,0,43.8
0.013654,1,44.4,0,0,44.4
0.012412,1,45,0,0,45
0.011333,1,45.6,0,0,45.6
0.010302,1,46.2,0,0,46.2
0.0093673,1,46.8,0,0,46.8
0.0085184,1,47.4,0,0,47.4
0.0077123,1,48,0,0,48
0.0070202,1,48.6,0,0,48.6
0.0063617,1,49.2,0,0,49.2
0.0057704,1,49.8,0,0,49.8
0.0052386,1,50.4,0,0,50.4
0.0047365,1,51,0,0,51
0.0043133,1,51.6,0,0,51.6
0.0039134,1,52.2,0,0,52.2
0.0035601,1,52.8,0,0,52.8
0.0032483,1,53.4,0,0,53.4
0.0029571,1,54,0,0,54
0.0027216,1,54.6,0,0,54.6
0.0025027,1,55.2,0,0,55.2
0.0023172,1,55.8,0,0,55.8
0.0021622,1,56.4,0,0,56.4
0.0020225,1,57,0,0,57
0.001925,1,57.6,0,0,57.6
0.0018409,1,58.2,0,0,58.2
0.0017834,1,58.8,0,0,58.8
0.0017515,1,59.4,0,0,59.4
0.0017325,1,60,0,0,60
