"heat_flux_x","temperature","MaterialIDs","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,1,0,0,0,0
0,0.9467,0,1,0.6,0,0,0.6
0,0.89362,0,1,1.2,0,0,1.2
0,0.84098,0,1,1.8,0,0,1.8
0,0.78921,0,1,2.4,0,0,2.4
0,0.73787,0,1,3,0,0,3
0,0.68842,0,1,3.6,0,0,3.6
0,0.63978,0,1,4.2,0,0,4.2
0,0.59275,0,1,4.8,0,0,4.8
0,0.54761,0,1,5.4,0,0,5.4
0,0.50342,0,1,6,0,0,6
0,0.46243,0,1,6.6,0,0,6.6
0,0.42257,0,1,7.2,0,0,7.2
0,0.38501,0,1,7.8,0,0,7.8
0,0.34982,0,1,8.4,0,0,8.4
0,0.31582,0,1,9,0,0,9
0,0.28543,0,1,9.6,0,0,9.6
0,0.25622,0,1,10.2,0,0,10.2
0,0.22938,0,1,10.8,0,0,10.8
0,0.20483,0,1,11.4,0,0,11.4
0,0.18143,0,1,12,0,0,12
0,0.16126,0,1,12.6,0,0,12.6
0,0.1421,0,1,13.2,0,0,13.2
0,0.12494,0,1,13.8,0,0,13.8
0,0.1096,0,1,14.4,0,0,14.4
0,0.095168,0,1,15,0,0,15
0,0.083182,0,1,15.6,0,0,15.6
0,0.071912,0,1,16.2,0,0,16.2
0,0.062075,0,1,16.8,0,0,16.8
0,0.053478,0,1,17.4,0,0,17.4
0,0.045501,0,1,18,0,0,18
0,0.039109,0,1,18.6,0,0,18.6
0,0.03316,0,1,19.2,0,0,19.2
0,0.028099,0,1,19.8,0,0,19.8
0,0.023771,0,1,20.4,0,0,20.4
0,0.01981,0,1,21,0,0,21
0,0.016747,0,1,21.6,0,0,21.6
0,0.013924,0,1,22.2,0,0,22.2
0,0.011582,0,1,22.8,0,0,22.8
0,0.009622,0,1,23.4,0,0,23.4
0,0.0078526,0,1,24,0,0,24
0,0.0065308,0,1,24.6,0,0,24.6
0,0.0053243,0,1,25.2,0,0,25.2
0,0.0043482,0,1,25.8,0,0,25.8
0,0.0035478,0,1,26.4,0,0,26.4
0,0.0028351,0,1,27,0,0,27
0,0.0023206,0,1,27.6,0,0,27.6
0,0.0018551,0,1,28.2,0,0,28.2
0,0.0014878,0,1,28.8,0,0,28.8
0,0.0011925,0,1,29.4,0,0,29.4
0,0.00093311,0,1,30,0,0,30
0,0.00075201,0,1,30.6,0,0,30.6
0,0.00058957,0,1,31.2,0,0,31.2
0,0.00046448,0,1,31.8,0,0,31.8
0,0.0003658,0,1,32.4,0,0,32.4
0,0.00028032,0,1,33,0,0,33
0,0.00022254,0,1,33.6,0,0,33.6
0,0.00017114,0,1,34.2,0,0,34.2
0,0.0001325,0,1,34.8,0,0,34.8
0,0.00010257,0,1,35.4,0,0,35.4
0,7.6989e-05,0,1,36,0,0,36
0,6.0239e-05,0,1,36.6,0,0,36.6
0,4.5453e-05,0,1,37.2,0,0,37.2
0,3.4595e-05,0,1,37.8,0,0,37.8
0,2.6332e-05,0,1,38.4,0,0,38.4
0,1.9366e-05,0,1,39,0,0,39
0,1.4942e-05,0,1,39.6,0,0,39.6
0,1.1065e-05,0,1,40.2,0,0,40.2
0,8.2836e-06,0,1,40.8,0,0,40.8
0,6.202e-06,0,1,41.4,0,0,41.4
0,4.4705e-06,0,1,42,0,0,42
0,3.4031e-06,0,1,42.6,0,0,42.6
0,2.4743e-06,0,1,43.2,0,0,43.2
0,1.8228e-06,0,1,43.8,0,0,43.8
0,1.343e-06,0,1,44.4,0,0,44.4
0,9.4911e-07,0,1,45,0,0,45
0,7.1323e-07,0,1,45.6,0,0,45.6
0,5.0934e-07,0,1,46.2,0,0,46.2
0,3.6942e-07,0,1,46.8,0,0,46.8
0,2.6797e-07,0,1,47.4,0,0,47.4
0,1.8574e-07,0,1,48,0,0,48
0,1.3786e-07,0,1,48.6,0,0,48.6
0,9.6739e-08,0,1,49.2,0,0,49.2
0,6.9116e-08,0,1,49.8,0,0,49.8
0,4.9379e-08,0,1,50.4,0,0,50.4
0,3.3585e-08,0,1,51,0,0,51
0,2.4635e-08,0,1,51.6,0,0,51.6
0,1.6993e-08,0,1,52.2,0,0,52.2
0,1.1966e-08,0,1,52.8,0,0,52.8
0,8.4249e-09,0,1,53.4,0,0,53.4
0,5.6264e-09,0,1,54,0,0,54
0,4.0825e-09,0,1,54.6,0,0,54.6
0,2.7722e-09,0,1,55.2,0,0,55.2
0,1.929e-09,0,1,55.8,0,0,55.8
0,1.3454e-09,0,1,56.4,0,0,56.4
0,8.9146e-10,0,1,57,0,0,57
0,6.543e-10,0,1,57.6,0,0,57.6
0,4.5861e-10,0,1,58.2,0,0,58.2
0,3.4585e-10,0,1,58.8,0,0,58.8
0,2.8616e-10,0,1,59.4,0,0,59.4
0,2.5301e-10,0,1,60,0,0,60
