"heat_flux_x","temperature","MaterialIDs","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,1,0,0,0,0
0,0.86561,0,1,0.6,0,0,0.6
0,0.7348,0,1,1.2,0,0,1.2
0,0.61117,0,1,1.8,0,0,1.8
0,0.50014,0,1,2.4,0,0,2.4
0,0.3954,0,1,3,0,0,3
0,0.3135,0,1,3.6,0,0,3.6
0,0.23914,0,1,4.2,0,0,4.2
0,0.17986,0,1,4.8,0,0,4.8
0,0.1335,0,1,5.4,0,0,5.4
0,0.093619,0,1,6,0,0,6
0,0.068578,0,1,6.6,0,0,6.6
0,0.046973,0,1,7.2,0,0,7.2
0,0.032236,0,1,7.8,0,0,7.8
0,0.02188,0,1,8.4,0,0,8.4
0,0.013713,0,1,9,0,0,9
0,0.0094322,0,1,9.6,0,0,9.6
0,0.0058678,0,1,10.2,0,0,10.2
0,0.0037361,0,1,10.8,0,0,10.8
0,0.0023505,0,1,11.4,0,0,11.4
0,0.0013381,0,1,12,0,0,12
0,0.00087759,0,1,12.6,0,0,12.6
0,0.00050355,0,1,13.2,0,0,13.2
0,0.00030234,0,1,13.8,0,0,13.8
0,0.00017877,0,1,14.4,0,0,14.4
0,9.4023e-05,0,1,15,0,0,15
0,5.951e-05,0,1,15.6,0,0,15.6
0,3.196e-05,0,1,16.2,0,0,16.2
0,1.8336e-05,0,1,16.8,0,0,16.8
0,1.0311e-05,0,1,17.4,0,0,17.4
0,5.085e-06,0,1,18,0,0,18
0,3.1329e-06,0,1,18.6,0,0,18.6
0,1.5943e-06,0,1,19.2,0,0,19.2
0,8.8279e-07,0,1,19.8,0,0,19.8
0,4.7658e-07,0,1,20.4,0,0,20.4
0,2.2305e-07,0,1,21,0,0,21
0,1.346e-07,0,1,21.6,0,0,21.6
0,6.5544e-08,0,1,22.2,0,0,22.2
0,3.5286e-08,0,1,22.8,0,0,22.8
0,1.8424e-08,0,1,23.4,0,0,23.4
0,8.2599e-09,0,1,24,0,0,24
0,4.9036e-09,0,1,24.6,0,0,24.6
0,2.3026e-09,0,1,25.2,0,0,25.2
0,1.2119e-09,0,1,25.8,0,0,25.8
0,6.1548e-10,0,1,26.4,0,0,26.4
0,2.6627e-10,0,1,27,0,0,27
0,1.5602e-10,0,1,27.6,0,0,27.6
0,7.107e-11,0,1,28.2,0,0,28.2
0,3.6719e-11,0,1,28.8,0,0,28.8
0,1.8221e-11,0,1,29.4,0,0,29.4
0,7.6502e-12,0,1,30,0,0,30
0,4.4349e-12,0,1,30.6,0,0,30.6
0,1.969e-12,0,1,31.2,0,0,31.2
0,1.0018e-12,0,1,31.8,0,0,31.8
0,4.8745e-13,0,1,32.4,0,0,32.4
0,1.9952e-13,0,1,33,0,0,33
0,1.1464e-13,0,1,33.6,0,0,33.6
0,4.9795e-14,0,1,34.2,0,0,34.2
0,2.501e-14,0,1,34.8,0,0,34.8
0,1.1965e-14,0,1,35.4,0,0,35.4
0,4.7915e-15,0,1,36,0,0,36
0,2.7326e-15,0,1,36.6,0,0,36.6
0,1.1647e-15,0,1,37.2,0,0,37.2
0,5.7854e-16,0,1,37.8,0,0,37.8
0,2.7276e-16,0,1,38.4,0,0,38.4
0,1.0717e-16,0,1,39,0,0,39
0,6.0729e-17,0,1,39.6,0,0,39.6
0,2.5458e-17,0,1,40.2,0,0,40.2
0,1.2526e-17,0,1,40.8,0,0,40.8
0,5.8298e-18,0,1,41.4,0,0,41.4
0,2.2525e-18,0,1,42,0,0,42
0,1.2693e-18,0,1,42.6,0,0,42.6
0,5.2438e-19,0,1,43.2,0,0,43.2
0,2.5584e-19,0,1,43.8,0,0,43.8
0,1.1772e-19,0,1,44.4,0,0,44.4
0,4.4813e-20,0,1,45,0,0,45
0,2.513e-20,0,1,45.6,0,0,45.6
0,1.0246e-20,0,1,46.2,0,0,46.2
0,4.962e-21,0,1,46.8,0,0,46.8
0,2.2598e-21,0,1,47.4,0,0,47.4
0,8.4877e-22,0,1,48,0,0,48
0,4.7389e-22,0,1,48.6,0,0,48.6
0,1.9095e-22,0,1,49.2,0,0,49.2
0,9.1855e-23,0,1,49.8,0,0,49.8
0,4.1445e-23,0,1,50.4,0,0,50.4
0,1.5378e-23,0,1,51,0,0,51
0,8.5523e-24,0,1,51.6,0,0,51.6
0,3.409e-24,0,1,52.2,0,0,52.2
0,1.63e-24,0,1,52.8,0,0,52.8
0,7.2921e-25,0,1,53.4,0,0,53.4
0,2.6756e-25,0,1,54,0,0,54
0,1.4827e-25,0,1,54.6,0,0,54.6
0,5.8519e-26,0,1,55.2,0,0,55.2
0,2.7826e-26,0,1,55.8,0,0,55.8
0,1.2351e-26,0,1,56.4,0,0,56.4
0,4.4864e-27,0,1,57,0,0,57
0,2.4807e-27,0,1,57.6,0,0,57.6
0,9.7616e-28,0,1,58.2,0,0,58.2
0,4.7386e-28,0,1,58.8,0,0,58.8
0,2.4197e-28,0,1,59.4,0,0,59.4
0,1.4529e-28,0,1,60,0,0,60
