"heat_flux_x","temperature","MaterialIDs","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,1,0,0,0,0
0,0.97335,0,1,0.6,0,0,0.6
0,0.94673,0,1,1.2,0,0,1.2
0,0.92016,0,1,1.8,0,0,1.8
0,0.8937,0,1,2.4,0,0,2.4
0,0.86729,0,1,3,0,0,3
0,0.84114,0,1,3.6,0,0,3.6
0,0.81508,0,1,4.2,0,0,4.2
0,0.78925,0,1,4.8,0,0,4.8
0,0.76368,0,1,5.4,0,0,5.4
0,0.73824,0,1,6,0,0,6
0,0.71327,0,1,6.6,0,0,6.6
0,0.68848,0,1,7.2,0,0,7.2
0,0.66405,0,1,7.8,0,0,7.8
0,0.64002,0,1,8.4,0,0,8.4
0,0.61619,0,1,9,0,0,9
0,0.59301,0,1,9.6,0,0,9.6
0,0.57008,0,1,10.2,0,0,10.2
0,0.54761,0,1,10.8,0,0,10.8
0,0.52565,0,1,11.4,0,0,11.4
0,0.50394,0,1,12,0,0,12
0,0.48302,0,1,12.6,0,0,12.6
0,0.46238,0,1,13.2,0,0,13.2
0,0.44229,0,1,13.8,0,0,13.8
0,0.42277,0,1,14.4,0,0,14.4
0,0.40353,0,1,15,0,0,15
0,0.38517,0,1,15.6,0,0,15.6
0,0.36711,0,1,16.2,0,0,16.2
0,0.34963,0,1,16.8,0,0,16.8
0,0.33276,0,1,17.4,0,0,17.4
0,0.31619,0,1,18,0,0,18
0,0.30052,0,1,18.6,0,0,18.6
0,0.28514,0,1,19.2,0,0,19.2
0,0.27037,0,1,19.8,0,0,19.8
0,0.25618,0,1,20.4,0,0,20.4
0,0.2423,0,1,21,0,0,21
0,0.22929,0,1,21.6,0,0,21.6
0,0.21656,0,1,22.2,0,0,22.2
0,0.20441,0,1,22.8,0,0,22.8
0,0.19281,0,1,23.4,0,0,23.4
0,0.1815,0,1,24,0,0,24
0,0.17099,0,1,24.6,0,0,24.6
0,0.16075,0,1,25.2,0,0,25.2
0,0.15103,0,1,25.8,0,0,25.8
0,0.14181,0,1,26.4,0,0,26.4
0,0.13284,0,1,27,0,0,27
0,0.12459,0,1,27.6,0,0,27.6
0,0.11657,0,1,28.2,0,0,28.2
0,0.10901,0,1,28.8,0,0,28.8
0,0.10188,0,1,29.4,0,0,29.4
0,0.094966,0,1,30,0,0,30
0,0.088667,0,1,30.6,0,0,30.6
0,0.082559,0,1,31.2,0,0,31.2
0,0.076836,0,1,31.8,0,0,31.8
0,0.071473,0,1,32.4,0,0,32.4
0,0.06629,0,1,33,0,0,33
0,0.061611,0,1,33.6,0,0,33.6
0,0.057087,0,1,34.2,0,0,34.2
0,0.052875,0,1,34.8,0,0,34.8
0,0.048951,0,1,35.4,0,0,35.4
0,0.045171,0,1,36,0,0,36
0,0.04179,0,1,36.6,0,0,36.6
0,0.038531,0,1,37.2,0,0,37.2
0,0.035516,0,1,37.8,0,0,37.8
0,0.032723,0,1,38.4,0,0,38.4
0,0.030043,0,1,39,0,0,39
0,0.027667,0,1,39.6,0,0,39.6
0,0.025383,0,1,40.2,0,0,40.2
0,0.023284,0,1,40.8,0,0,40.8
0,0.021352,0,1,41.4,0,0,41.4
0,0.019503,0,1,42,0,0,42
0,0.01788,0,1,42.6,0,0,42.6
0,0.016325,0,1,43.2,0,0,43.2
0,0.014905,0,1,43.8,0,0,43.8
0,0.013606,0,1,44.4,0,0,44.4
0,0.012367,0,1,45,0,0,45
0,0.011291,0,1,45.6,0,0,45.6
0,0.010263,0,1,46.2,0,0,46.2
0,0.0093307,0,1,46.8,0,0,46.8
0,0.0084844,0,1,47.4,0,0,47.4
0,0.0076807,0,1,48,0,0,48
0,0.0069908,0,1,48.6,0,0,48.6
0,0.0063344,0,1,49.2,0,0,49.2
0,0.0057451,0,1,49.8,0,0,49.8
0,0.005215,0,1,50.4,0,0,50.4
0,0.0047146,0,1,51,0,0,51
0,0.0042929,0,1,51.6,0,0,51.6
0,0.0038945,0,1,52.2,0,0,52.2
0,0.0035425,0,1,52.8,0,0,52.8
0,0.0032318,0,1,53.4,0,0,53.4
0,0.0029417,0,1,54,0,0,54
0,0.0027071,0,1,54.6,0,0,54.6
0,0.0024891,0,1,55.2,0,0,55.2
0,0.0023044,0,1,55.8,0,0,55.8
0,0.00215,0,1,56.4,0,0,56.4
0,0.0020108,0,1,57,0,0,57
0,0.0019137,0,1,57.6,0,0,57.6
0,0.0018299,0,1,58.2,0,0,58.2
0,0.0017727,0,1,58.8,0,0,58.8
0,0.0017409,0,1,59.4,0,0,59.4
0,0.001722,0,1,60,0,0,60
